exp,report,exp_id,compute_fair,checkpoint,params_m,enc_depth,dec_depth,loss,perplexity,fid,fid_n,scene_desc,tok_rgb,tok_depth,tok_normal,throughput,peak_gpu_mb,grad_norm,label,selection_order
baseline_v1,report.log,baseline_v1/report.log,False,final,109.86,6,6,3.49857,33.0681,47.2028,5000,0.279601,5.798024,4.041777,3.874879,74993,16859.2,0.9915,Baseline,0
swiglu_v1,report_cf.log,swiglu_v1/report_cf.log,True,step-30519,122.44,6,6,3.478522,32.4118,37.7079,5000,0.28395,5.751195,4.010133,3.868809,75136,16959.2,0.8605,SwiGLU,1
alibi_swiglu_v1,report_cf.log,alibi_swiglu_v1/report_cf.log,True,step-30519,122.44,6,6,3.486594,32.6745,37.7159,5000,0.288576,5.744893,4.025368,3.887541,113124,16983.0,0.9645,ALiBi + SwiGLU,2
rope_swiglu_v1,report_cf.log,rope_swiglu_v1/report_cf.log,True,step-30519,122.44,6,6,3.466468,32.0235,39.7195,5000,0.272424,5.702043,4.035517,3.85589,75193,16983.0,0.9127,RoPE + SwiGLU,3
swiglu_depth8,report_cf.log,swiglu_depth8/report_cf.log,True,step-30519,141.33,8,8,3.451548,31.5492,43.2476,5000,0.281949,5.690545,3.987117,3.846581,69274,17129.1,0.9502,SwiGLU depth-8,4
resi_scaled_depth16_v1,report_cf.log,resi_scaled_depth16_v1/report_cf.log,True,step-22889,183.29,16,16,3.563082,35.2718,44.8172,5000,0.284669,5.85171,4.122049,3.993902,58941,17452.5,0.7463,Residual-scaled depth-16,5
swiglu_depth16_residual_depth_deepnorm,report_cf.log,swiglu_depth16_residual_depth_deepnorm/report_cf.log,True,step-15259,216.85,16,16,3.630146,37.7183,48.9312,5000,0.29103,5.906696,4.224336,4.098522,34203,17719.5,0.7131,Combined depth-16,6
